"filename", "language", "JSON", "JSON with Comments", "TypeScript", "JavaScript JSX", "TypeScript JSX", "Markdown", "XML", "HTML", "SCSS", "comment", "blank", "total"
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\.storybook\main.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\.storybook\preview.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\.storybook\vitest.setup.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 2, 9
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\README.md", "Markdown", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 10, 55
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\eslint.config.js", "JavaScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 2, 29
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\package-lock.json", "JSON", 8154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8155
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\package.json", "JSON", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 62
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\add-image.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\add-list.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\add-photo.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\add-uder.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\arrow-chevron-down.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\arrow-chevron-left.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\arrow-chevron-right.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\arrow-chevron-up.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\arrow-reverse.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\arrow-to-down-bold.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\arrow-to-left-bold.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\arrow-to-right-bold.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\arrow-to-top-bold.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\attachment.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\check-circle-fill.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\check-circle-outline.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\check.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\close-bold.svg", "XML", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\close-circle-fill.svg", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 0, 1, 1, 12
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\close-circle.svg", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\close.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 1, 8
"c:\Users\denis\OneDrive\Рабочий стол\VKR\orcalib-ui-kit\public\icons\copy.svg", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
